conv_id,utterance_id,AnnoMI Label,vol_text,speaker
0,0,['OQ'],Thanks for filling it out. We give this form to everyone once a year regardless of why they come in. It helps us provide better care. Is it okay if I take a look at what you put down?,therapist
0,1,['N'],Sure.,client
0,2,['GI'],"So, let's see. It looks that you put-- You drink alcohol at least four times a week on average-",therapist
0,3,['N'],Mm-hmm.,client
0,4,['GI'],-and you usually have three to four drinks when you do drink.,therapist
0,5,['N'],Usually three drinks and glasses of wine.,client
0,6,['GI'],Okay. That's at least 12 drinks a week.,therapist
0,7,['N'],Something like that.,client
0,8,['GI'],"Okay. Just so you know, my role, um, when we talk about alcohol use, is just to share information about risk and to help patients who want help. This is different than telling them what I think they should do. I don't do that.",therapist
0,9,['N'],Okay.,client
0,10,['OQ'],"Uh, what else can you tell me about your drinking.",therapist
0,11,['N'],"Well, I usually drink when I'm at home trying to unwind and I drink while I'm watching a movie. And sometimes, um, I take a bath but I also drink when I take a bath sometimes.",client
0,12,['OQ'],"Okay. So, can I share with you some information on alcohol use?",therapist
0,13,['N'],Okay.,client
0,14,['GI'],"Okay. So, there has been a lot of research on alcohol use and the guidelines we use in this country says that having seven or more drinks per week can raise the risk of health problems for women.",therapist
0,15,['N'],Hmm. Seven?,client
0,16,['GI'],Seven.,therapist
0,17,['N'],Wow. I knew my doctor didn't like me drinking the amount that I did but I didn't know that seven was the limit.,client
0,18,['OQ'],"Yeah, you're surprised to hear that?",therapist
0,19,['N'],Yes. What-what kind of health problems?,client
0,20,['GI'],"Well things like heart disease, cancer, liver problems, uh, stomach pains, insomnia. Unfortunately, uh, people who drink at a risky level are more likely to be diagnosed with depression and alcohol can make depression worse or harder to treat.",therapist
0,21,['N'],"Hmm. Well, that's not good news.",client
0,22,['OQ'],"Well, how do you think your drinking relates to the depression you've experienced?",therapist
0,23,['N'],"Well, to be honest, I drink sometimes when I'm feeling down and I find it more interesting and not so blur.",client
0,24,['OQ'],Okay. And how do you feel after you drink?,therapist
0,25,['N'],"Well, then I feel blur again.",client
0,26,['GI'],"So, there are some answers on this form here. Uh, less than monthly you drank more than you intended to.",therapist
0,27,['N'],Yes on occasion.,client
0,28,['GI'],And sometimes you feel guilty after you drink.,therapist
0,29,['N'],Sometimes I just don't like how much I drink. I sometimes finish a bottle in one night.,client
0,30,['OQ'],So you're not proud of finishing a bottle?,therapist
0,31,['N'],"No, it's not like I get crazy or anything but I just don't like the amount that I'm drinking.",client
0,32,['SR'],"Right. By the way, binge drinking is defined for women as having more than, uh, three drinks and there are about five drinks in a bottle. So, you enjoy drinking wine because it helps make things, uh, a little bit more interesting when you're feeling down but at the same time you don't like drinking when you have more than you want it to and then the depression returns after you drink.",therapist
0,33,['N'],"Mm-hmm. Yes, sometimes I feel worse after drinking.",client
0,34,['OQ'],Where do you wanna go from here? What do you wanna change about your drinking habits?,therapist
0,35,['C'],"Well, I don't think that I'm ready to cut down to seven drinks a week. That seems like a lot but I would consider cutting back to two drinks a night. I think that would be my goal.",client
0,36,['OQ'],"If I gave you a scale from 0 to 10, 0 being not ready at all to cut back on drinking and 10 being very ready, what number would you be at?",therapist
0,37,['C'],I'd say an eight.,client
0,38,['OQ'],Okay. Why do you think it's not something less like a six?,therapist
0,39,['C'],"Well, I'm more ready than a six because I'm ready to cut back on my drinking and I don't wanna make my depression any worse.",client
0,40,['OQ'],What would help you cut back to two drinks?,therapist
0,41,['C'],Maybe having less wine in the house.,client
